uid,total_facebook_statuses,account_membership_period,service_support_calls,number_of_snaps,total_whatsapp_charge,sub_country_code,total_twitter_tweets,country,total_email_characters,email_plan,total_whatsapp_msg_characters,social_account_number,total_whatsapp_msgs,total_facebook_charge,total_twitter_charge,snapchat_plan,total_email_charge,total_twitter_tweet_characters,total_emails,total_facebook_status_characters,turn_anti_social
79,79,149,1,43,10.87,510,122,OK,10.9,no,241.5,359-9972,80,35.14,14.84,yes,2.94,174.6,3,206.7,0
80,76,136,2,24,9.65,415,114,MS,8.8,no,214.4,348-7071,91,29.68,15.01,yes,2.38,176.6,5,174.6,0
81,108,112,1,0,5.89,415,102,WV,11.6,no,130.9,380-5286,90,44.44,13.13,no,3.13,154.5,2,261.4,0
82,91,97,3,0,6.51,510,137,TX,13.8,no,144.6,351-6384,72,24.51,19.27,no,3.73,226.7,4,144.2,0
83,97,43,0,0,10.24,415,126,AZ,8,no,227.5,362-3660,114,30.48,21.48,no,2.16,252.7,5,179.3,0
84,126,90,1,0,12.34,408,118,MN,4.6,no,274.2,421-5994,71,24.21,10.73,no,1.24,126.2,4,142.4,0
85,114,75,1,0,4.86,415,61,GA,12.2,no,107.9,333-7637,82,19.94,17.09,no,3.29,201.1,3,117.3,0
86,74,30,0,30,10.22,415,86,DE,,no,227.2,349-4703,104,36.96,18.17,yes,1.78,213.8,3,217.4,0
87,111,83,2,32,9.02,415,98,ID,10.6,yes,200.4,345-5980,109,16.1,13.12,yes,2.86,154.4,6,94.7,0
88,117,130,0,30,7.1,408,141,IN,7.4,no,157.8,360-9005,103,31.45,21.21,yes,2,249.5,7,185,0
89,112,86,3,33,4.27,415,94,OK,11.9,no,95,395-3852,98,43.03,17.86,yes,3.21,,4,253.1,0
90,122,98,0,0,6.91,408,110,CO,13.3,no,153.6,386-7337,104,40.15,16.1,no,3.59,189.4,4,236.2,0
91,122,131,0,39,4.72,415,136,WI,9.1,no,104.8,331-3174,94,11.75,8.61,yes,2.46,101.3,4,69.1,0
92,100,55,0,0,11.16,510,99,MO,17.1,no,248.1,362-1146,87,32.13,10.07,no,4.62,118.5,6,189,0
93,108,100,1,0,4.04,415,81,AZ,4.3,no,89.7,390-1552,81,22.29,14.98,no,1.16,176.2,4,131.1,0
94,89,166,2,0,6.22,510,113,ND,11.2,no,138.3,345-8433,85,33.64,21.34,no,3.02,,2,197.9,0
95,120,120,2,0,6.83,415,106,OR,9.6,no,151.8,368-8283,96,42.84,12.77,no,2.59,,1,252,0
96,117,112,2,36,7.99,510,82,MO,10,no,177.6,409-1244,118,19.33,13.39,yes,2.7,157.5,3,113.7,0
97,92,101,4,0,9.89,415,117,SC,13.5,no,219.7,345-4589,125,26.93,15.98,no,3.65,188,4,158.4,1
98,139,13,2,0,9.98,415,88,AL,7.1,no,221.7,354-4333,123,24.33,20.37,no,1.92,239.6,5,143.1,0
99,53,61,3,33,9.08,415,116,MI,10.9,no,201.7,349-5617,102,46.02,17.06,yes,2.94,200.7,3,270.7,0
100,101,82,1,0,6.39,415,83,LA,13.5,no,142.1,353-5557,103,33.61,10.85,no,3.65,127.6,3,197.7,0
101,106,65,0,23,10.03,415,100,PA,9.8,no,222.8,382-9138,75,38.11,16.12,yes,2.65,189.6,4,224.2,0
102,58,111,4,0,7.15,415,108,AK,7.9,no,158.8,364-7719,104,29.38,15.56,no,2.13,183.1,3,172.8,1
103,111,67,2,36,7.65,408,94,NY,9.9,no,169.9,405-2888,103,19.65,20.2,yes,2.67,237.7,12,115.6,0
104,93,110,1,0,8.68,510,106,CO,7.1,no,192.8,345-8350,105,22.42,23.18,no,1.92,272.7,4,131.9,0
105,101,142,1,40,11.88,510,88,PA,6.4,no,263.9,340-6221,92,39.22,21.83,yes,1.73,256.8,3,230.7,0
106,80,90,3,0,7.88,415,105,CT,14.2,no,175,334-4438,111,6.43,13.2,no,3.83,155.3,5,37.8,0
107,60,92,2,0,10.78,415,73,CO,12.3,no,239.5,408-3262,120,31.4,22.27,no,3.32,262,6,184.7,1
108,110,41,2,37,8.51,408,115,DC,7.3,no,189.1,329-6191,100,40.77,18.86,yes,1.97,221.9,1,239.8,0
109,113,59,2,0,9.79,408,125,NY,9.9,no,217.5,415-4609,92,18.33,18.41,no,2.67,216.6,3,107.8,0
110,111,56,1,0,,415,119,MO,14.3,no,182.3,331-5919,72,23.32,14.1,no,3.86,165.9,4,137.2,0
111,84,42,1,0,2.03,408,113,WY,8,no,45,357-7060,117,24.87,21.75,no,2.16,255.9,12,146.3,0
112,82,124,1,0,13.75,415,119,CT,11.3,no,305.5,332-3642,101,22.41,24.17,no,3.05,284.3,2,131.8,0
113,144,36,1,0,10.97,408,69,WV,9.9,no,243.7,370-5001,146,29.77,18.44,no,2.67,216.9,3,175.1,0
114,87,210,3,31,8.67,415,103,NC,10.1,no,192.7,363-7802,97,53.35,12.55,yes,2.73,147.7,7,313.8,0
115,134,89,0,0,7.01,408,105,AR,10.9,yes,155.7,410-3725,86,35.17,14.25,no,2.94,167.7,4,206.9,0
116,79,136,2,0,,408,113,VA,6,no,177.5,411-5078,75,24.19,13.43,no,1.62,158,11,142.3,0
117,93,81,2,0,8.7,415,108,MN,10.4,no,193.3,369-2625,71,33.73,17.93,no,2.81,210.9,6,,0
118,82,117,1,22,10.15,415,82,IN,3.7,yes,225.6,355-6531,120,33.32,27.43,yes,1,322.7,5,196,0
119,96,96,2,26,8.01,415,84,DE,11.1,no,178,345-3734,105,29.89,17.56,yes,3,206.6,2,175.8,0
120,95,107,1,0,9.19,408,85,AL,13.2,no,204.3,332-3804,87,14.76,9.19,no,3.56,,3,86.8,0
121,91,127,0,25,13.5,408,64,VA,4.8,no,300,414-1246,99,29.41,20.89,yes,1.3,245.8,3,173,0
122,118,101,5,0,7.65,408,79,OK,13.5,no,170.1,345-1524,93,15.25,22.11,no,3.65,260.1,11,,1
123,115,188,1,26,8.93,415,67,NM,,yes,198.5,369-6890,118,33.8,14.16,yes,3.89,166.6,3,198.8,1
124,121,199,0,34,13.47,415,99,CT,,no,299.3,393-6733,94,39.2,18.65,yes,2.16,219.4,2,230.6,0
125,128,132,1,15,6.69,415,106,HI,9.1,no,148.6,405-3335,90,26.28,20.88,yes,2.46,245.6,4,154.6,0
126,81,89,1,0,,415,74,MO,9.1,no,131.9,373-7713,120,30.38,19.86,no,2.46,233.7,4,178.7,0
127,99,87,2,33,9.69,415,81,SD,10.2,no,215.3,330-1627,95,21.25,20,yes,2.75,235.3,7,125,0
128,117,143,0,0,10.04,415,136,FL,12.2,no,223,343-6314,100,20.25,24.45,no,3.29,287.7,4,119.1,0
129,80,125,4,0,10.49,510,94,MT,8.8,no,233.2,366-5829,135,24.34,7.49,no,2.38,,7,143.2,1
130,141,148,1,36,11.51,415,60,TN,,no,255.7,419-5501,115,13.19,17.6,yes,2.94,,2,77.6,0
131,83,112,3,0,7.56,510,89,AL,7.1,no,168,339-5659,116,32.2,18.62,no,1.92,219,8,189.4,0
132,113,53,2,0,11.53,415,84,TX,12.9,no,256.2,380-9409,108,20.35,16.12,no,3.48,189.7,7,119.7,0
133,147,43,0,0,5.78,408,121,WV,9.2,no,128.4,417-5320,100,39.13,15.87,no,2.48,186.7,3,230.2,0
134,91,116,3,29,8.67,510,79,ID,11.7,yes,192.7,414-7090,131,27.59,23.74,yes,3.16,279.3,2,162.3,1
135,92,66,1,16,13.74,415,105,NJ,8.9,no,305.4,410-5713,98,29.7,19.73,yes,2.4,232.1,2,174.7,0
136,84,56,1,0,10.98,510,115,NE,,no,243.9,408-4865,95,20.67,14.05,no,2.4,165.3,2,121.6,0
137,122,87,1,19,11.24,415,89,CA,0,no,249.7,383-4802,78,28.19,15.89,yes,0,186.9,0,165.8,0
138,113,137,4,0,9.21,415,79,KS,10.7,no,204.7,346-8581,111,39.13,18.73,no,2.89,220.4,7,230.2,0
139,97,90,1,0,9.71,408,134,TX,8.4,yes,215.8,355-7293,154,37.71,17.32,no,2.27,,4,221.8,0
140,80,87,2,0,,415,89,MI,16.6,no,133.5,405-4303,96,33.71,15.9,no,4.48,187,4,198.3,0
141,91,62,4,0,10.28,415,130,NM,8.5,no,228.4,339-5423,102,41.7,10.45,no,2.3,122.9,4,245.3,0
142,95,175,1,0,14.1,415,74,ME,8.7,no,313.4,415-6127,108,22.44,19.65,no,2.35,231.2,10,132,0
143,96,114,3,4,10.07,510,88,SC,9.4,no,223.7,364-9425,85,24.02,19.58,yes,2.54,,3,141.3,0
144,103,83,3,0,5.51,415,103,WA,9.8,no,122.5,369-4384,100,37.64,19.7,no,2.65,231.8,5,221.4,0
145,109,172,4,0,,408,123,OK,17.8,no,160.7,398-3632,65,34.66,19.89,no,4.81,234,4,203.9,0
146,127,123,1,27,7.79,415,105,OK,12.5,no,173.2,393-3635,124,33.78,21.17,yes,3.38,249,5,198.7,0
147,89,99,0,0,9.14,510,95,LA,9.1,no,203.1,379-9821,114,24.19,17.38,no,2.46,,1,142.3,0
148,109,85,0,0,,415,94,HI,12,no,188.2,362-5889,99,40.09,13.36,no,3.24,157.2,3,235.8,0
149,109,38,5,0,6.21,510,97,MN,9.2,no,137.9,399-5291,109,29.87,18,no,2.48,211.8,3,,1
150,118,106,2,0,8.42,415,101,MD,8.5,no,187.2,343-2350,93,28.1,17.85,no,2.3,210,3,165.3,0
151,106,90,2,29,6.84,415,113,IL,11.1,no,152.1,378-7299,120,31.55,18.67,yes,3,219.7,5,185.6,0
152,123,79,1,0,10.17,408,108,ND,,no,226.1,363-3515,106,34.97,18.23,no,1.81,214.5,18,205.7,0
153,107,132,1,0,12.24,510,127,OR,12.6,no,272,353-6056,88,32.62,17.59,no,3.4,206.9,2,191.9,0
154,99,125,0,0,10.95,510,107,NV,10.9,no,243.3,336-1574,92,28.66,14.93,no,2.94,175.6,7,168.6,0
155,63,100,4,0,10.94,510,67,FL,12.8,no,243.1,420-7823,74,18.19,8.98,no,3.46,,3,107,1
156,98,69,1,37,6.47,415,105,LA,5.9,no,143.7,420-7692,117,26.35,12.1,yes,1.59,142.4,4,155,0
157,97,68,2,0,,408,144,ND,10.8,no,205.7,391-8369,101,37.33,11.99,no,2.92,141.1,4,219.6,0
158,48,81,0,0,8.44,415,82,OR,13.1,no,187.6,406-4100,78,55.2,20.09,no,3.54,236.4,5,324.7,1
159,127,98,1,0,8.18,510,88,ND,5.1,no,181.8,347-9737,129,31.82,16.63,no,1.38,195.6,4,187.2,0
160,109,160,1,0,13.84,408,117,MA,9.3,no,307.6,387-3332,77,28.36,20.06,no,2.51,236,1,166.8,0
161,82,109,3,0,9.38,510,109,MT,5.9,no,208.4,415-9649,80,26.32,24.45,no,1.59,287.7,9,154.8,0
162,121,55,2,0,13.63,415,110,WA,,no,302.8,333-2611,136,33,15.01,no,1.89,176.6,7,194.1,0
163,100,58,2,0,8.72,408,87,GA,,no,193.8,389-9120,118,28.12,9.83,no,3.46,115.7,5,,0
164,102,164,3,27,10.98,510,113,OH,9.6,no,244.1,347-1263,127,27.15,14.35,yes,2.59,168.8,9,159.7,0
165,125,103,8,0,9.95,408,126,NH,10.4,no,221.2,371-1727,104,25.6,14.37,no,2.81,169.1,8,150.6,1
166,104,147,2,0,6.72,510,78,DE,11.3,no,149.4,400-2203,123,35.6,11.26,no,3.05,132.5,3,209.4,0
167,67,46,2,0,9.2,408,91,NJ,13.4,no,204.4,332-5949,107,43.76,22.19,no,3.62,261.1,5,257.4,1
168,98,114,0,31,6.81,415,105,DE,13,no,151.3,347-4626,101,37.88,15.34,yes,3.51,180.5,4,222.8,0
169,57,56,0,0,13.95,408,97,NM,9.2,no,310.1,332-5964,110,24.84,16.68,no,2.48,196.2,3,146.1,0
170,93,74,2,0,,415,120,CO,9.1,no,241.8,394-6278,95,38.28,18.28,no,2.46,215.1,2,225.2,0
171,77,36,1,0,,415,151,IN,8.4,no,275.8,405-8867,103,43.08,15.5,no,2.27,182.4,2,253.4,0
172,49,94,1,0,11.55,415,115,CT,13,no,256.7,337-9303,74,35.04,19.09,no,3.51,224.6,1,206.1,0
173,72,115,2,33,10.9,415,157,HI,14.2,no,242.3,336-6128,138,24.65,16.53,yes,3.83,194.5,3,145,0
174,132,122,0,0,8.21,415,99,PA,11,yes,182.4,383-4061,57,39.25,20.67,no,2.97,243.2,2,230.9,1
175,108,149,2,0,6.96,408,96,OH,7.7,no,154.7,340-5930,87,33.37,11.63,no,2.08,136.8,3,196.3,0
176,106,189,3,0,8.06,415,123,OK,11.3,no,179.1,383-2537,120,35.41,20.12,no,3.05,236.7,5,,0
177,120,74,1,0,9.38,408,106,VA,9.8,no,208.5,416-5341,102,28.1,16.87,no,2.65,198.5,3,165.3,0
178,71,93,2,0,3.48,415,108,AZ,10.9,no,77.3,399-7865,121,46.17,19.5,no,2.94,229.4,3,,0
179,134,93,2,36,5.71,415,102,CA,8,no,126.8,356-5491,82,30.38,15.18,yes,2.16,178.6,4,178.7,0
180,55,113,1,0,6.66,415,105,NJ,12.2,no,148.1,397-6425,83,31.62,20.18,no,3.29,237.4,6,186,0
181,128,116,2,0,8.69,510,137,NY,14,no,193.1,346-4984,94,15.22,15.37,no,3.78,180.8,3,89.5,0
182,102,125,0,0,,415,87,MD,8,no,198.9,405-1821,105,38.23,12.22,no,2.16,143.8,2,224.9,0
183,93,127,2,0,9.21,415,130,WI,9.2,no,204.6,343-9365,131,37.16,12.74,no,2.48,149.9,5,218.6,0
184,117,3,2,36,4.68,415,125,CT,11.9,no,103.9,401-6162,89,20.08,18.83,yes,3.21,221.5,6,118.1,0
185,108,87,1,0,,415,102,UT,5.3,no,167.5,411-6663,66,24.87,14.6,no,1.43,171.8,9,146.3,0
186,132,81,1,0,,415,91,NV,5.2,no,186.4,395-5783,109,24.72,10.99,no,1.4,129.3,4,145.4,0
187,145,114,1,0,8.72,510,101,TN,10.1,no,193.7,343-3846,100,29.24,23.49,no,2.73,276.4,9,172,0
188,112,138,2,0,9.66,415,107,AZ,9.8,no,214.6,332-3381,104,14.89,22.69,no,2.65,266.9,10,87.6,0
189,113,127,3,27,10.92,510,102,OK,9.2,no,242.7,403-1128,156,0.44,21.59,yes,2.48,254,5,2.6,0
190,131,162,3,0,6.91,408,122,WI,6.5,no,153.6,412-8811,88,30.11,9.75,no,1.76,114.7,6,177.1,0
191,108,162,4,0,6.97,415,87,MS,9.1,no,154.8,335-4858,82,12.02,13.39,no,2.46,157.5,3,70.7,1
192,103,137,0,0,11.85,408,84,IL,,yes,263.4,352-5787,81,40.34,15.02,no,3.83,176.7,4,237.3,1
193,102,50,0,0,,408,108,NH,11.1,no,210.2,339-4636,95,26.3,25.33,no,3,298,3,154.7,0
194,110,126,0,0,11.21,415,125,DC,5.1,no,249.2,392-5512,78,27.44,18.75,no,1.38,220.6,2,161.4,0
195,118,103,0,0,9.66,415,69,NC,10.3,no,214.7,396-4845,112,44.78,15.22,no,2.78,179.1,2,263.4,0
196,105,121,1,0,7.61,408,133,KS,,no,169,373-5438,116,25.62,16.77,no,2.48,,15,150.7,0
197,89,136,3,0,3.26,408,96,MA,11,yes,72.4,367-8168,84,33.93,17.97,no,2.97,211.4,4,199.6,1
198,85,204,6,0,7.94,415,95,NY,5.9,no,176.4,371-9414,96,29.63,21.6,no,1.59,254.1,3,174.3,0
199,68,30,1,0,11.12,408,96,MN,,no,247.2,399-4800,101,9.18,15.24,no,2.75,179.3,8,54,0
200,94,118,2,0,12.11,408,120,ND,12.5,no,269,419-3427,105,38.18,19.2,no,3.38,225.9,8,224.6,0
201,101,108,3,0,10.68,415,86,IN,11.6,no,237.4,358-2046,113,34.19,14.51,no,3.13,170.7,3,201.1,0
202,69,37,0,0,9.34,415,113,CA,12.9,no,207.5,345-1243,117,32.49,10.98,no,3.48,129.2,1,191.1,0
203,123,36,2,43,14.67,408,117,SC,8.6,no,325.9,359-5091,105,5.08,10.97,yes,2.32,,6,29.9,0
204,125,70,0,0,11.43,415,104,NY,10.9,no,254.1,366-2536,72,30.16,19.23,no,2.94,226.2,4,177.4,0
205,69,63,0,0,9.09,510,135,WV,14.7,no,202.1,328-9797,94,44.51,20.83,no,3.97,,4,261.8,1
206,84,63,3,0,9.77,415,137,CO,10.7,no,217.1,408-6725,99,36.01,19.63,no,2.89,230.9,9,211.8,0
207,62,111,0,0,6.77,510,124,AL,11.2,no,150.4,390-7863,138,29.99,17.09,no,3.02,201,2,176.4,0
208,78,59,1,31,10.2,510,79,NJ,9.1,yes,226.7,347-5354,79,38.25,16.26,yes,2.46,191.3,3,225,0
209,68,68,2,0,8.62,415,123,KS,,no,191.6,363-3486,100,35.29,21.39,no,2.94,251.6,6,207.6,0
210,112,104,1,26,8.97,415,97,NY,11.1,no,199.3,391-1793,104,32.15,15.15,yes,3,178.2,4,189.1,0
211,119,97,1,0,6.84,415,109,VT,6.5,no,152.1,328-2236,76,19.16,18.5,no,1.76,217.7,5,112.7,0
212,102,90,0,0,,408,114,CO,10.9,no,104,371-4788,133,18.68,18.77,no,2.94,220.8,6,109.9,0
213,104,163,1,23,10.35,510,64,MT,10.4,no,229.9,398-9408,118,27.2,16.1,yes,2.81,189.4,7,160,0
214,89,151,0,0,5.38,415,83,WY,4.3,no,119.5,394-8861,100,28.93,15.94,no,1.16,187.5,3,170.2,0
215,94,121,3,0,10.86,408,121,CO,13.4,yes,241.3,409-4447,115,28.51,7.96,no,3.62,93.7,1,167.7,1
216,81,21,1,0,12.67,415,117,NY,6.6,no,281.5,335-2274,87,41.6,14.28,no,1.78,,1,,0
217,101,108,1,0,9.72,510,126,SC,12.6,no,216.1,393-7522,107,31.86,16.99,no,3.4,199.9,8,187.4,0
